Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
17,Male,Caucasian,High School,1.754352834,24,No,Moderate,No,No,No,No,0.184251489
16,Male,Asian,High School,7.830741992,27,Yes,Moderate,No,No,No,No,0.472181042
17,Male,Other,High School,14.26643459,25,No,High,Yes,Yes,No,No,1.299355518
18,Male,Caucasian,Some College,13.18846494,10,No,Moderate,No,No,No,Yes,2.379628283
15,Female,Caucasian,Some College,12.49401339,0,No,High,No,No,No,No,3.56628313
15,Male,Asian,Some College,5.650817273,23,No,Low,No,No,No,No,0.278347571
18,Male,Asian,Some College,7.560498989,1,No,Low,No,No,No,No,2.421546883
15,Female,African American,Some College,2.058922894,29,No,Very High,No,Yes,No,Yes,0.617680424
18,Female,Other,High School,14.38045641,16,No,High,No,No,No,No,1.804726658
18,Female,Caucasian,Bachelor's,10.07777594,7,No,Moderate,Yes,No,No,No,2.63520813
18,Male,African American,High School,14.17531265,1,No,High,No,No,No,Yes,3.436025389
15,Male,Asian,High School,4.978870496,5,No,Very High,No,No,Yes,Yes,2.737377926
17,Female,Asian,Some College,6.488764573,21,Yes,Low,Yes,No,No,Yes,1.14669608
18,Female,Caucasian,High School,6.684306745,4,No,None,No,No,No,No,2.405267526
16,Female,Asian,None,0.514848195,15,Yes,Moderate,No,No,Yes,No,1.525282049
15,Female,African American,Some College,6.820957457,7,No,Low,Yes,Yes,No,No,2.446157081
18,Female,Caucasian,Some College,16.06609147,18,Yes,Low,Yes,No,Yes,No,1.952953012
18,Female,Caucasian,Some College,17.94596991,15,No,High,Yes,No,No,No,2.293087191
16,Male,Asian,Higher,10.36436631,12,No,None,No,No,Yes,No,1.471672029
17,Male,Caucasian,Some College,9.110033904,25,Yes,High,No,No,No,Yes,1.106713498
17,Male,Caucasian,Bachelor's,0.616492374,19,No,Moderate,No,Yes,No,Yes,1.205856976
17,Female,Caucasian,High School,17.58408675,6,No,Moderate,No,No,No,No,2.559070355
18,Female,Asian,Some College,0.260204269,15,No,High,Yes,Yes,Yes,No,2.457651022
18,Female,African American,Bachelor's,18.8950016,22,Yes,Moderate,No,No,No,No,1.226741286
18,Female,Asian,Some College,9.784324974,15,No,Low,No,No,No,Yes,1.590433098
15,Female,Caucasian,Some College,6.838689871,28,No,Low,Yes,No,No,No,0.310669533
16,Female,African American,High School,18.4843687,11,Yes,High,Yes,No,No,No,2.771810659
18,Male,African American,None,0.487819862,13,No,Low,Yes,No,No,No,1.582682992
16,Male,Asian,Some College,11.6284979,23,Yes,None,Yes,No,No,Yes,1.105587098
16,Female,Other,High School,10.97865049,17,No,Very High,No,No,No,No,2.300296135
17,Male,Caucasian,Bachelor's,4.386408024,26,Yes,Very High,Yes,Yes,No,No,0.991883698
15,Female,African American,High School,8.577748627,27,No,Moderate,No,Yes,Yes,Yes,0.165110622
18,Male,Caucasian,Higher,13.04528012,17,No,None,No,No,No,No,0.989329921
17,Female,African American,Higher,14.54262394,15,No,High,Yes,No,Yes,No,2.230253521
17,Female,Caucasian,High School,0.014337174,19,No,High,Yes,No,No,No,1.383528078
18,Male,Caucasian,High School,18.7370686,15,No,Low,Yes,Yes,No,No,2.131405263
16,Male,Caucasian,Bachelor's,3.290507448,12,No,Low,Yes,No,Yes,No,1.868276923
17,Female,African American,Higher,4.671608684,25,No,High,Yes,No,Yes,No,1.247481944
16,Female,Caucasian,Some College,5.269468914,28,No,Very High,No,No,No,No,0.299907548
15,Male,Asian,High School,0.756402731,8,No,High,Yes,No,No,Yes,2.705195695
16,Male,Caucasian,Some College,2.461042472,25,No,Low,Yes,Yes,Yes,No,0.897938092
15,Female,Caucasian,Some College,19.72699846,27,No,Moderate,Yes,Yes,No,No,1.391731791
16,Male,Asian,High School,6.304334748,8,No,High,No,No,No,No,2.150546166
17,Female,Caucasian,Some College,2.306021807,12,No,Low,No,No,No,No,1.448741242
17,Female,Caucasian,None,2.139825223,28,No,Low,Yes,No,Yes,No,0
15,Female,African American,None,14.38919935,3,Yes,Low,No,No,No,No,3.091715028
18,Female,Caucasian,High School,17.09137328,8,No,Moderate,No,No,No,No,2.576927695
15,Male,Caucasian,High School,5.13904599,14,No,Moderate,No,No,No,No,1.955872527
15,Male,Caucasian,High School,0.418190247,13,No,High,No,Yes,No,No,1.878708344
16,Male,Other,Some College,4.461800369,18,Yes,High,Yes,Yes,No,No,1.630400132
16,Male,African American,High School,1.130313816,11,No,Very High,No,No,Yes,No,2.37274811
15,Male,African American,High School,2.067898733,20,Yes,High,Yes,No,No,No,1.279370611
17,Male,African American,High School,8.630162397,25,No,Low,No,No,No,Yes,0.155004788
16,Male,Caucasian,Higher,4.598367417,24,Yes,Moderate,No,Yes,Yes,Yes,1.278347034
18,Female,Caucasian,Some College,10.31891757,5,No,Moderate,No,Yes,No,No,2.655993566
16,Male,Asian,Some College,5.069875065,2,No,None,Yes,No,Yes,No,2.682316053
16,Male,Caucasian,Some College,18.81074602,25,No,Very High,No,Yes,No,No,1.644819939
18,Female,Caucasian,Higher,18.11887936,24,Yes,None,Yes,Yes,No,No,1.396278438
15,Male,Caucasian,High School,11.3361221,21,Yes,Moderate,Yes,No,No,No,1.609486799
18,Male,Caucasian,Some College,7.08847984,19,No,Moderate,Yes,No,Yes,No,1.187367525
15,Female,Other,Some College,7.622937641,15,No,Moderate,Yes,No,Yes,No,2.019797023
15,Male,Caucasian,Some College,8.237045663,29,No,High,No,No,No,Yes,0.241625628
15,Male,African American,None,14.55158644,19,No,Moderate,No,No,No,No,1.247725194
18,Male,Caucasian,Some College,9.03277991,23,No,Low,No,No,Yes,No,0.852682363
15,Female,Other,None,17.13459893,22,No,Low,No,No,No,No,0.965700989
17,Male,Caucasian,Some College,18.88189572,16,Yes,Very High,Yes,Yes,No,No,2.423800752
18,Male,Caucasian,Some College,6.718923068,15,No,Low,Yes,No,No,No,1.741968167
17,Female,Asian,High School,11.21388963,5,No,Low,No,No,Yes,No,2.845925776
15,Male,Asian,Bachelor's,1.901130737,7,No,Moderate,No,No,No,No,2.039564398
16,Female,Caucasian,None,4.009380955,18,Yes,Low,Yes,No,No,No,1.54206374
15,Female,Caucasian,Bachelor's,8.269315334,29,Yes,Moderate,No,No,Yes,No,0.730779602
17,Male,Caucasian,Some College,4.124054318,24,No,High,Yes,No,No,No,0.499987778
17,Female,Caucasian,High School,17.53120982,25,Yes,High,No,No,No,No,1.122889381
18,Female,Caucasian,High School,3.165725121,1,Yes,High,No,Yes,No,No,2.959492728
16,Male,Caucasian,Higher,9.113216431,13,No,Low,Yes,Yes,Yes,No,2.30020524
18,Female,Caucasian,None,12.11398481,21,No,Moderate,No,Yes,No,No,1.352720764
17,Female,Caucasian,High School,13.83727816,11,Yes,None,Yes,No,No,No,2.134062038
15,Male,African American,High School,7.661387395,16,No,None,Yes,No,No,Yes,1.29979432
16,Male,Other,Some College,17.38198137,27,No,Moderate,Yes,No,No,No,0.747833944
15,Male,African American,Some College,11.36638302,26,No,Low,Yes,Yes,Yes,No,0.532923204
15,Female,Caucasian,High School,8.790155609,14,No,High,No,No,No,No,2.07376979
16,Male,Caucasian,High School,1.344812681,17,Yes,High,Yes,Yes,No,No,1.991379364
18,Female,Other,High School,9.293789369,15,No,High,Yes,No,No,Yes,1.8999596
15,Female,Caucasian,High School,16.41471682,12,No,High,Yes,Yes,No,No,2.614883942
17,Female,Caucasian,Some College,12.29082036,20,Yes,None,Yes,Yes,Yes,No,1.810270744
15,Female,African American,Some College,16.64324907,16,No,Moderate,Yes,No,No,No,1.581931481
16,Female,African American,High School,9.880233412,7,No,Low,No,Yes,No,No,2.271332803
16,Female,African American,High School,2.369234102,0,Yes,Moderate,Yes,No,No,No,3.363670491
16,Female,Caucasian,High School,0.272796917,28,No,Low,Yes,Yes,No,No,0.48129848
18,Male,Caucasian,Higher,6.064390934,24,No,None,Yes,Yes,No,No,0.199927379
15,Male,Other,Higher,13.95980943,25,No,Moderate,No,Yes,Yes,Yes,1.268008751
18,Female,Caucasian,Bachelor's,15.80519808,26,No,High,Yes,No,No,No,0.882552454
18,Female,African American,High School,5.915056692,2,Yes,High,No,No,No,No,3.120136639
16,Male,Asian,None,9.913078418,15,No,Moderate,No,Yes,No,Yes,1.804154692
16,Female,African American,High School,8.422378089,27,No,Moderate,Yes,Yes,Yes,No,0.681703644
18,Male,Caucasian,High School,8.210455687,1,No,Moderate,Yes,No,No,Yes,2.898261817
15,Male,Caucasian,Some College,4.626974264,14,No,High,No,No,No,Yes,1.730318003
17,Male,African American,Some College,2.727422101,0,Yes,None,Yes,No,Yes,No,3.560791672
18,Female,Asian,Bachelor's,3.933771165,8,Yes,High,No,Yes,No,No,2.528774574
15,Female,Other,Bachelor's,1.106647743,15,Yes,Moderate,No,Yes,No,No,1.592387858
16,Male,Caucasian,High School,3.962614836,3,No,Low,No,No,Yes,Yes,2.374130972
16,Male,Caucasian,Some College,0.184017953,11,Yes,None,Yes,No,No,No,1.81040948
15,Male,Other,High School,12.54516801,0,No,Low,No,No,No,No,2.829826431
17,Male,Asian,None,6.327508148,0,Yes,Moderate,No,No,No,Yes,3.047602089
16,Male,Asian,Some College,19.46289423,6,Yes,High,Yes,Yes,No,No,3.62592173
16,Female,Caucasian,None,3.874341016,17,No,Moderate,No,No,No,Yes,0.927321545
16,Male,African American,Some College,6.916571406,22,No,Moderate,Yes,No,No,No,1.331958949
15,Female,Asian,High School,7.156823173,27,No,Very High,Yes,Yes,No,Yes,0.779551722
18,Male,African American,Some College,0.169029921,22,No,Low,Yes,No,No,No,0.881358447
16,Female,Caucasian,Some College,16.78415906,14,Yes,Low,No,No,No,No,2.398121086
18,Female,Caucasian,High School,0.639889203,25,No,Moderate,No,Yes,No,No,0.758814269
17,Female,African American,Bachelor's,18.80359669,29,No,High,Yes,No,No,No,1.028865596
16,Female,Caucasian,High School,17.84148702,24,No,High,No,Yes,No,No,1.444476695
16,Female,Caucasian,Some College,10.71043832,12,Yes,Moderate,No,No,No,No,2.214067459
17,Female,Other,Some College,10.8719115,15,No,Very High,No,Yes,Yes,No,2.511918088
16,Male,Caucasian,Some College,13.07555846,6,No,High,No,No,No,No,2.690149803
18,Female,Asian,Higher,7.741000239,15,No,None,Yes,No,No,No,1.605274386
15,Male,Caucasian,High School,12.94444567,12,No,High,Yes,No,Yes,Yes,2.709889487
18,Female,African American,Some College,0.895367774,13,No,None,No,Yes,No,No,1.528563501
15,Female,Other,Some College,1.080952547,16,Yes,High,No,Yes,No,No,1.778569202
15,Male,Caucasian,Bachelor's,9.144608392,11,No,Low,Yes,No,No,No,2.121964059
18,Female,Caucasian,High School,10.99244602,28,No,High,No,No,No,No,0.405904831
18,Male,Caucasian,Some College,17.75635281,23,No,Moderate,Yes,No,No,No,1.123926328
18,Male,Caucasian,Some College,2.093212678,23,No,High,No,No,No,No,0.870330411
18,Male,Asian,High School,16.45295854,19,No,Moderate,Yes,Yes,No,No,1.822829208
17,Male,Other,Some College,4.200946746,12,No,High,Yes,No,No,No,2.231182932
16,Female,Caucasian,High School,7.88167297,23,No,Low,No,Yes,Yes,No,0.966967717
15,Female,Caucasian,Some College,6.332048697,19,No,Very High,No,Yes,No,No,1.691858946
18,Male,Caucasian,Bachelor's,8.003105457,14,No,High,No,No,No,No,2.069758206
18,Female,Asian,Some College,3.009909961,23,Yes,Low,Yes,Yes,No,No,1.057876127
18,Female,Caucasian,Some College,10.07140149,20,No,Very High,No,No,No,No,1.321427207
17,Male,African American,Some College,16.0328518,3,Yes,Moderate,Yes,No,No,Yes,3.516940721
18,Female,African American,None,8.830680208,21,Yes,High,No,Yes,No,Yes,1.049157002
18,Male,African American,High School,9.812271518,1,No,High,Yes,No,No,No,3.486141329
18,Male,Caucasian,Some College,16.97535171,27,Yes,None,Yes,No,No,Yes,0.586837405
16,Female,Asian,High School,14.12116229,17,No,Very High,No,Yes,No,No,2.358815897
17,Female,Caucasian,High School,9.80908817,1,No,Moderate,No,No,No,No,3.152222286
18,Female,Caucasian,Some College,5.153912964,24,No,Low,No,No,No,No,0.587835083
15,Male,Asian,High School,17.69853494,14,No,High,Yes,Yes,No,Yes,2.668893329
15,Male,Asian,High School,11.54040803,29,No,High,No,No,No,No,0.304372034
15,Female,Caucasian,Some College,4.422952202,25,No,None,No,Yes,No,No,0.280670308
17,Female,Caucasian,High School,5.382395053,18,No,Low,Yes,No,No,No,0.873091197
17,Female,Caucasian,Bachelor's,16.06266178,14,No,High,No,No,No,No,2.330783483
15,Female,Caucasian,Bachelor's,0.882911242,25,No,None,Yes,Yes,Yes,No,0.318850909
18,Male,Caucasian,Some College,19.84184374,19,No,Very High,No,No,No,No,1.792289321
17,Female,Caucasian,High School,2.607033594,9,No,High,No,Yes,No,No,2.573219137
15,Male,Caucasian,Some College,15.92137051,27,No,Moderate,No,Yes,No,No,1.084490126
15,Male,Asian,Bachelor's,7.895506335,23,No,Moderate,Yes,Yes,No,Yes,1.08669668
18,Female,African American,Some College,9.844323666,19,No,Moderate,No,No,Yes,Yes,1.004112663
16,Female,African American,High School,17.61301155,10,Yes,Moderate,Yes,No,No,No,2.824604893
17,Female,Caucasian,Some College,8.258223792,25,Yes,High,No,Yes,Yes,Yes,1.364373782
18,Male,Other,Bachelor's,10.74987507,9,No,Very High,No,No,No,Yes,2.607286401
15,Female,Asian,Some College,0.985993248,28,Yes,Moderate,Yes,No,Yes,No,0.568468084
15,Female,Asian,Some College,0.046949477,22,No,Moderate,No,No,No,Yes,0.573796193
18,Male,Asian,Some College,4.89599746,4,No,Low,No,No,No,No,2.258071035
17,Female,Other,Some College,13.61166186,8,Yes,High,No,No,No,No,2.840092975
16,Male,African American,None,2.425297867,19,No,High,Yes,Yes,No,No,1.683117263
16,Female,Caucasian,Some College,2.275239176,18,Yes,High,Yes,No,No,No,1.72090715
15,Male,African American,None,8.219212161,12,No,None,No,No,No,No,1.537783909
17,Female,Asian,Some College,12.95674077,17,No,High,No,Yes,No,No,2.063463508
16,Female,Asian,High School,14.24143984,16,No,Moderate,Yes,No,No,No,1.87854751
17,Male,African American,Some College,3.569013482,26,No,High,Yes,Yes,No,Yes,0.863270859
17,Male,Caucasian,High School,1.591762947,5,No,High,No,No,No,No,2.513286133
15,Female,Caucasian,Some College,18.80794068,9,No,High,Yes,Yes,No,Yes,2.77216327
16,Male,Other,Some College,5.213327651,1,Yes,Moderate,No,No,No,No,2.888385936
18,Male,African American,High School,17.06692995,23,No,High,No,Yes,No,No,1.337161049
15,Male,African American,High School,17.26982901,5,No,None,No,No,No,No,2.370611615
16,Male,Caucasian,High School,15.45045184,27,No,High,No,No,Yes,No,0.854464648
16,Female,Caucasian,Bachelor's,3.376672133,27,Yes,None,No,No,No,No,0.322641827
16,Female,Asian,Some College,16.43602919,20,No,Moderate,Yes,Yes,No,No,1.834226997
16,Male,African American,Some College,15.38501118,12,No,Low,No,No,No,No,1.990060452
16,Male,Asian,High School,11.9344598,17,Yes,High,No,Yes,No,No,2.226983394
17,Male,Caucasian,Some College,6.744040703,6,No,Moderate,No,No,No,Yes,2.608386898
15,Male,African American,Bachelor's,5.250172085,1,No,High,Yes,No,No,No,3.406339082
17,Female,Caucasian,Bachelor's,2.437784242,28,Yes,High,Yes,No,No,No,0.867034374
18,Female,Asian,Some College,10.19514134,13,Yes,High,No,Yes,No,No,2.166091325
16,Male,Caucasian,None,11.70521751,4,No,Low,No,Yes,No,No,2.422928333
15,Male,Caucasian,High School,7.18677981,17,No,High,No,Yes,No,No,1.509557878
16,Male,African American,None,9.507181354,10,Yes,Moderate,No,Yes,No,No,2.443857264
15,Female,Other,High School,7.270289147,9,No,None,No,No,No,No,2.003828379
17,Male,Caucasian,High School,12.82012115,10,Yes,Low,No,Yes,No,No,2.465306489
15,Female,Asian,High School,18.02518416,26,No,Low,Yes,No,Yes,No,0.844792002
18,Male,Caucasian,High School,3.278405241,1,No,None,No,Yes,No,No,2.731058898
18,Female,Caucasian,Bachelor's,7.628176198,14,No,Moderate,No,No,No,No,1.736011489
15,Male,Caucasian,Some College,2.817372079,6,Yes,None,No,Yes,No,No,2.589670731
15,Female,Caucasian,Bachelor's,12.49887541,8,Yes,Moderate,Yes,No,No,No,2.742361123
15,Male,African American,Some College,14.57741019,4,No,Low,No,No,No,No,2.49591944
15,Male,Caucasian,High School,18.63825465,6,Yes,Low,No,No,Yes,No,2.853437194
18,Male,Caucasian,Some College,5.577438525,19,No,Very High,Yes,No,No,No,1.591347992
16,Female,Other,High School,19.00422412,1,No,Moderate,No,No,Yes,No,3.209673328
15,Male,Caucasian,Some College,1.265253436,2,Yes,Low,No,Yes,No,No,3.127617865
15,Female,Asian,High School,12.06027727,1,Yes,Moderate,No,Yes,Yes,Yes,3.453275897
18,Female,Caucasian,Higher,1.142654387,20,Yes,Low,Yes,No,No,No,0.822773567
18,Male,African American,High School,17.87548376,21,Yes,None,No,No,No,No,1.217335228
17,Male,Caucasian,High School,10.59618114,22,No,None,Yes,No,No,No,0.762684311
15,Male,Caucasian,Bachelor's,13.38696702,18,No,Very High,No,Yes,Yes,No,2.145848671
17,Female,Caucasian,None,16.63147852,3,Yes,High,No,No,No,No,3.299131002
18,Male,Caucasian,Some College,3.00621245,23,No,High,Yes,No,Yes,No,1.170812285
18,Female,Caucasian,Some College,0.771831239,19,No,Very High,No,No,No,Yes,1.424595653
16,Female,African American,Bachelor's,17.57762292,6,No,Very High,No,No,No,No,2.902659367
15,Male,Asian,Higher,6.298664549,27,No,High,No,No,Yes,No,0.691477419
17,Male,Asian,Higher,2.579578159,21,Yes,High,Yes,No,Yes,Yes,1.8865425
18,Male,African American,None,9.369224742,6,No,Moderate,No,No,No,Yes,2.635341351
18,Male,Caucasian,Bachelor's,11.96612151,16,Yes,Low,No,No,No,No,1.500339419
17,Male,Caucasian,Some College,0.619412068,18,No,Moderate,No,No,Yes,No,1.235553816
16,Male,Caucasian,Some College,5.497913165,21,No,Moderate,No,No,No,No,0.604613406
18,Female,Caucasian,High School,0.655997486,15,No,Very High,No,No,No,No,1.388138976
15,Female,African American,Some College,8.406707784,2,No,Moderate,No,No,Yes,No,3.300552206
18,Female,African American,Higher,17.90200058,14,No,High,No,No,No,Yes,2.168641593
15,Male,Caucasian,Bachelor's,19.65304823,13,No,Moderate,Yes,Yes,No,No,2.79726748
17,Female,Caucasian,Some College,12.74095107,14,No,Low,No,No,No,No,1.717458615
15,Female,Asian,None,3.232753876,13,No,Moderate,No,Yes,No,No,1.687900492
17,Female,Asian,High School,18.1169878,6,No,Moderate,Yes,No,No,No,2.952145863
15,Female,Caucasian,Bachelor's,10.32495646,24,No,Moderate,Yes,No,No,No,0.963375009
17,Female,Other,Some College,3.074986242,2,No,Moderate,Yes,No,No,No,3.334971828
15,Male,Other,Some College,18.43453339,29,No,Low,No,No,No,No,0.443640655
16,Male,Caucasian,None,15.14938101,16,Yes,Moderate,Yes,No,No,No,1.955791739
15,Female,Caucasian,Some College,14.63410545,9,No,High,Yes,Yes,No,No,2.850351339
15,Female,African American,Some College,14.18361408,14,Yes,Moderate,No,Yes,No,No,2.370067422
16,Female,Other,Bachelor's,4.006796422,28,Yes,Moderate,No,No,No,No,0.152590779
18,Male,Asian,Some College,4.220133834,5,No,None,No,No,No,No,2.123043127
18,Male,Caucasian,High School,13.76585997,27,Yes,Low,Yes,No,Yes,Yes,0.922013232
15,Female,Caucasian,Some College,4.394455002,16,No,Moderate,No,No,No,Yes,1.428993238
16,Male,African American,None,8.773433936,16,Yes,Moderate,No,Yes,No,No,1.893440916
15,Male,African American,Higher,15.64003651,13,Yes,Moderate,No,No,No,No,1.939584666
17,Female,Caucasian,High School,15.67905036,23,No,High,Yes,Yes,No,No,1.511276997
17,Male,Asian,Some College,9.065235451,24,No,Low,No,No,Yes,No,0.825604174
15,Male,African American,High School,15.84379877,17,No,None,Yes,No,No,No,1.764354309
18,Female,Asian,Some College,16.77243592,24,No,Moderate,Yes,No,No,No,1.2955949
18,Male,Asian,Some College,13.09551503,4,No,Moderate,No,No,No,No,2.473717178
15,Male,Asian,Some College,4.568517046,28,No,Moderate,No,No,Yes,No,0.019798485
15,Female,Caucasian,High School,5.480235608,7,No,High,No,No,No,No,2.202958506
17,Male,African American,High School,6.296823108,6,No,High,Yes,No,No,No,3.040025436
18,Male,Caucasian,High School,2.336082155,22,Yes,Low,Yes,No,No,No,1.069079987
15,Female,African American,Some College,5.463192407,3,Yes,Very High,Yes,No,No,No,3.941760022
17,Female,Caucasian,None,4.190384486,17,No,Low,No,No,Yes,No,1.482595973
18,Female,African American,Some College,9.106574996,4,No,High,No,Yes,No,No,3.042275369
16,Male,Caucasian,Bachelor's,18.16875096,15,No,High,No,Yes,No,No,2.10396651
17,Female,Caucasian,Bachelor's,2.089606335,13,No,High,No,No,No,No,1.787522329
18,Male,Caucasian,Some College,14.40535848,26,Yes,Low,Yes,No,No,Yes,1.100381883
18,Female,Caucasian,Some College,13.74566009,26,No,Moderate,No,No,No,No,0.854558289
17,Male,Asian,None,1.915083973,18,No,Moderate,No,Yes,No,Yes,1.199651388
16,Female,Asian,Some College,18.4514481,13,Yes,Low,No,No,No,No,2.591940919
17,Female,African American,Bachelor's,11.36944404,8,Yes,None,No,No,No,Yes,2.282212745
18,Female,Caucasian,High School,7.274510423,5,No,Moderate,No,No,No,No,2.754877493
15,Female,Caucasian,Some College,15.13077167,16,No,Moderate,No,Yes,No,No,1.921268647
15,Male,Caucasian,Bachelor's,5.147309168,18,No,High,Yes,No,Yes,No,1.583556496
17,Female,Caucasian,Bachelor's,13.87019674,11,No,Low,No,No,Yes,No,1.723385686
18,Female,Asian,High School,0.794224151,3,Yes,High,Yes,No,No,No,2.876055005
15,Male,Caucasian,Some College,16.78816075,15,No,Low,No,No,No,No,1.88899193
18,Female,Caucasian,High School,8.96341694,24,No,High,Yes,Yes,No,No,1.369369967
17,Male,Caucasian,High School,12.73385829,10,Yes,Moderate,No,No,No,No,2.550546234
15,Female,Caucasian,Bachelor's,4.424756396,21,Yes,Moderate,Yes,Yes,Yes,Yes,1.943573341
18,Female,African American,Bachelor's,13.54147425,3,Yes,High,Yes,No,No,Yes,3.310401269
15,Female,African American,Some College,15.44480552,16,No,Low,No,No,No,No,1.418938675
17,Male,Caucasian,None,9.464263738,7,No,Low,No,Yes,No,No,2.353054655
18,Female,Caucasian,Bachelor's,12.35453848,13,No,Moderate,No,No,Yes,No,1.752886206
15,Female,Caucasian,Some College,9.126518476,26,No,Low,Yes,No,Yes,No,0.513962989
17,Female,Caucasian,High School,17.88182739,1,No,Moderate,No,No,No,No,3.021954868
15,Male,Caucasian,Some College,9.95738361,10,No,Low,No,Yes,No,Yes,1.834749448
15,Male,Other,None,16.83617418,10,No,High,No,No,No,No,2.275700147
16,Female,African American,Some College,16.02704117,23,Yes,High,Yes,Yes,No,Yes,1.767646785
16,Male,African American,Some College,8.210096427,21,No,None,Yes,No,Yes,No,1.353723074
17,Female,Caucasian,High School,4.601689837,23,Yes,High,No,Yes,No,No,1.034201169
16,Female,Caucasian,High School,8.121642651,5,No,Moderate,No,No,No,No,2.758341831
17,Female,African American,High School,16.52434752,20,Yes,Moderate,Yes,No,No,No,1.789966874
16,Female,African American,None,4.552650716,20,No,Moderate,Yes,No,No,No,1.223973607
15,Female,Asian,Some College,10.48872692,13,Yes,High,No,Yes,No,Yes,2.443619105
17,Female,Caucasian,Bachelor's,16.12193496,29,No,Moderate,No,Yes,Yes,No,0.362957003
17,Female,African American,None,7.069549503,9,No,High,Yes,No,No,No,2.251753922
15,Male,Caucasian,None,12.84419274,25,Yes,Low,No,No,No,No,0.900041692
17,Male,Asian,Some College,4.912631481,26,No,Very High,No,No,No,No,0.656616923
17,Male,African American,Bachelor's,2.185588907,7,No,High,Yes,No,No,No,2.186426951
16,Male,African American,High School,15.8876845,6,Yes,Low,No,No,Yes,Yes,2.883136266
17,Male,Caucasian,High School,1.979372468,7,Yes,High,Yes,No,No,No,2.877853698
18,Male,African American,Some College,5.427627902,27,No,Moderate,No,No,No,No,0.01206349
15,Male,Caucasian,High School,17.10218844,7,No,Low,Yes,No,No,No,2.583738163
16,Female,Caucasian,None,6.929385742,22,No,Low,No,Yes,No,No,1.161554531
16,Female,Caucasian,Some College,19.46090699,1,No,None,Yes,No,No,No,3.301690513
18,Female,African American,Some College,19.5946867,26,Yes,High,No,No,No,No,1.505172773
15,Female,Caucasian,Some College,5.365520409,15,No,Moderate,No,No,No,No,1.385696221
15,Male,Caucasian,Some College,0.819564445,8,No,Moderate,No,No,No,Yes,2.240923949
16,Male,Asian,Some College,14.10126568,12,Yes,Low,Yes,No,No,No,2.116723382
17,Female,Caucasian,High School,9.019730053,22,No,Moderate,No,No,No,Yes,1.036656834
16,Female,African American,High School,2.015056879,11,No,Moderate,No,No,No,No,1.617460207
15,Male,Caucasian,High School,14.15045638,26,No,High,No,No,No,No,0.865945542
18,Female,Caucasian,High School,0.623498182,21,No,Very High,No,Yes,No,No,1.320245987
16,Female,Asian,Some College,17.40393381,24,No,Moderate,Yes,No,No,Yes,1.259764683
15,Female,Caucasian,Bachelor's,2.773050582,28,No,Moderate,Yes,No,No,No,0.081573184
16,Female,Caucasian,Higher,2.546237575,16,No,Moderate,No,Yes,Yes,No,1.689673085
17,Male,African American,Some College,3.513445959,26,No,High,No,No,No,Yes,0.46042165
16,Female,African American,High School,19.20532717,1,No,Low,Yes,No,No,No,3.577043897
16,Female,African American,High School,13.86338721,12,No,Moderate,Yes,No,No,No,2.087872127
15,Male,Caucasian,Bachelor's,16.02743071,0,No,High,Yes,No,No,No,3.369584362
15,Male,Caucasian,Some College,7.952699715,25,No,None,No,No,No,No,0
15,Female,Asian,Some College,6.72625455,27,No,Low,No,No,No,No,0.094651592
16,Male,African American,Some College,4.689680136,18,No,High,No,Yes,No,No,1.405315628
17,Female,Asian,Some College,9.612960566,10,No,Low,No,No,No,No,1.87826418
18,Female,Asian,Bachelor's,11.03657467,4,No,Moderate,Yes,No,No,No,2.87190477
18,Male,Asian,None,12.63549687,0,Yes,Moderate,No,No,No,No,3.70794804
15,Female,Caucasian,Some College,5.14237008,19,No,Moderate,No,No,Yes,No,1.174868091
15,Female,Caucasian,Bachelor's,18.97308162,29,Yes,Low,Yes,No,No,No,0.995449642
16,Female,Asian,High School,3.395169964,12,Yes,Very High,No,Yes,No,No,2.528711257
18,Female,Caucasian,Some College,19.3130635,7,No,None,Yes,Yes,No,No,2.59683449
15,Male,Caucasian,High School,0.29712245,5,No,High,No,No,No,No,2.460606774
17,Male,Asian,Higher,9.622513836,28,Yes,None,No,No,No,No,0.547780724
17,Female,Asian,None,6.667356762,16,No,Moderate,No,Yes,No,No,1.803054427
15,Male,Caucasian,Some College,8.982468279,11,Yes,Low,No,No,No,No,2.309975848
15,Female,Caucasian,High School,11.41329158,0,No,Low,No,No,No,No,3.093363943
18,Female,Caucasian,Some College,8.71178316,2,No,Low,No,No,No,No,2.615900724
18,Female,Asian,High School,8.296937006,13,No,Moderate,No,Yes,No,No,2.276918318
16,Female,Other,High School,14.65446831,25,No,Moderate,Yes,No,No,No,1.051531526
18,Female,Caucasian,Some College,13.7175255,7,No,Low,No,Yes,No,No,2.747706159
17,Male,Caucasian,Bachelor's,16.66542564,10,No,Very High,No,No,No,No,2.621670104
17,Female,Asian,High School,4.999179625,26,Yes,Low,No,No,No,No,0.243298094
15,Male,Caucasian,High School,12.1905702,13,Yes,Moderate,No,No,No,No,2.194706521
18,Male,African American,Some College,11.70389571,7,No,Low,No,No,No,Yes,2.639906488
16,Female,Other,Some College,7.394756217,28,Yes,Moderate,No,Yes,No,No,0.833493418
17,Female,Caucasian,Bachelor's,9.721150838,2,Yes,High,No,No,No,No,3.402401591
